PMID,Title,Abstract
40835019,The role of mitophagy in perioperative neurocognitive disorder: from mechanisms to implications.,"Perioperative neurocognitive disorder (PND) is a significant neurological complication in aging perioperativepatients, seriously impacting their postoperative recovery and cognition as well as quality of life. The occurrence of PND is closely related to various factors, including neuroinflammation and oxidative stress, while the exact mechanism is still unknown. Mitophagy is a specialized form of autophagy and maintains cellular homeostasis by selectively degrading damaged and dysfunctional mitochondria, serving as a crucial quality control mechanism to ensure the mitochondrial network's integrity and functionality. Mitophagy has been proved to be involved in the onset and progression of major neurodegenerative diseases, such as Parkinson's disease and Alzheimer's disease. Recently, findings indicated that mitophagy may also play critical roles in the pathogenesis of PND, and the mechanisms may involve ubiquitin-dependent pathways (such as the PINK1/Parkin pathway) and non-ubiquitin-dependent pathways (such as the BNIP3/FUNDC1 pathway). Studies indicated that the PINK1/Parkin pathway is impaired in the animal PND models. In contrast, the BNIP3/ FUNDC1 pathway is neuroprotective by promoting mitophagy under stress conditions such as hypoxia. In addition, abnormal Tau protein aggregation and ferroptosis are correlated with mitophagy and PND in animal studies. In this review, we focused on the role and detailed mechanism of mitophagy in the occurrence and development of PND, as well as on possible potential targets involving mitophagy modulation."
40835004,Plasma ceramide mediates the association of peripheral T cells with Alzheimer's disease.,"Neuroinflammation involving peripheral immune cells, particularly T lymphocytes, has been implicated in Alzheimer's disease (AD) progression. Metabolic dysregulation in sphingolipid pathways may influence neuroinflammatory processes in AD pathogenesis. However, the specific roles of T cell subsets and their interactions with metabolic pathways in AD pathogenesis remain unclear. To determine the causal contributions of peripheral T cell subsets to AD risk and investigate whether blood metabolites mediate this association. We integrated single-cell RNA sequencing with flow cytometry to identify dynamic alterations in T cell subsets during AD progression. Adoptive transfer experiments in APP/PS1 mice validated the functional roles of specific T cell populations. Two-sample Mendelian randomization (MR) evaluated causal relationships between T cell traits and AD risk, while two-step MR assessed the mediating role of blood metabolites. CD4 effector memory (EM) and CD8 central memory (CM) T cells expanded in AD patients, particularly during mild cognitive impairment. Adoptive transfer of either CD4 EM or CD8 CM T cells into APP/PS1 mice exacerbated cognitive deficits and amyloid-β pathology. MR revealed causal associations of CM CD8br % T cell (OR = 1.22, 95 % CI: 1.07-1.39, P = 0.002) and EM CD4+ % CD4+ (OR = 1.09, 95 % CI: 1.01-1.18, P = 0.027) with AD risk. Elevated plasma ceramide levels were also causally associated with increased AD risk (OR = 1.34, 95 % CI: 1.10-1.64, P = 0.004), with CD4 EM influencing ceramide levels (OR = 1.03, 95 % CI: 1.01-1.06, P = 0.020). Ceramide mediated 11.20 % of the effect between CD4 EM and AD pathogenesis. This study identifies CD4 EM and CD8 CM T cells as key drivers of AD-related neuroinflammation and uncovers a possible immunometabolic pathway linking CD4 EM, ceramide metabolism, and AD risk, suggesting potential targets for early diagnosis and therapeutic intervention."
40833393,Design of Red Fluorescence Ce-Based Carbon Dots of High and Balanced Multiple Functions against Alzheimer's β-Amyloid Fibrillization.,"The intricate pathophysiology of Alzheimer's disease (AD), characterized by β-amyloid (Aβ) deposition, oxidative stress, and neuroinflammation, presents significant challenges for conventional single-target therapeutic approaches, thereby necessitating the development of innovative multifunctional theranostic strategies. Herein, red fluorescence cerium-based carbon dots (CCP-CD) were designed and synthesized <i>via</i> a one-step solvothermal method by purposely selecting curcumin (Cur) for inhibitory and anti-inflammatory effects, Ce(NO<sub>3</sub>)<sub>3</sub>·6H<sub>2</sub>O for enhancing antioxidant activity, and p-phenylenediamine (p-PD) for modulating fluorescence property as precursors. The as-prepared CCP-CD potently suppressed Aβ fibrillization and strongly eliminated multiple reactive oxygen species (ROS) (·OH, O<sub>2</sub><sup>·-</sup>, DPPH·) at low concentrations (1-10 μg/mL). Moreover, CCP-CD facilitates detection of Aβ plaques through a turn-on red fluorescence mechanism for both <i>in vitro</i> and <i>in vivo</i> imaging and quantification. <i>In vitro</i> assays showed that CCP-CD markedly attenuated Aβ-induced cytotoxicity and increased cell viability from ∼60 to 95%, as well as exhibited excellent anti-inflammatory effects by reducing the levels of TNF-α and IL-6 in BV-2 cells. <i>In vivo</i> experiments revealed that CCP-CD effectively suppressed Aβ plaque formation in the AD nematodes and prolonged the lifespan from 13 to 20 d. The unique structural characteristics of CCP-CD, including its conjugated aromatic framework, reversible Ce<sup>3+</sup>/Ce<sup>4+</sup> redox pair, and abundant O- and N-containing functional groups, facilitate balanced multiple therapeutic and diagnostic functions. The work has thus provided an exceptional nanoagent for detecting Aβ and fighting against Aβ-associated toxicities."
40832424,ACE inhibition increases Alzheimer's disease risk by promoting tau phosphorylation.,"Reportedly, over 60% of individuals in the USA aged 65 or older take antihypertensive medications, making it crucial to evaluate their potential impact on dementia. Alzheimer's disease (AD), the most prevalent form of dementia, develops insidiously over decades, effectively precluding clinical trials of antihypertensive drug effects on AD risk. Through a triangulation approach integrating large-scale human genetics, population-based study, and rigorous experimental models, we identified that angiotensin-converting enzyme (ACE) inhibitors were associated with increased AD risk, with no significant associations observed for other antihypertensive classes, including angiotensin II receptor blockers and calcium channel blockers. Multi-omics Mendelian randomization analyses revealed that genetically proxied reductions in <i>ACE</i> expression and ACE protein levels in serum, cerebrospinal fluid, and brain tissues were causally associated with increased AD risk via exacerbated tau phosphorylation. A cohort study of 338,645 UK Biobank participants, followed for more than 10 years, also found an association between genetically predicted low serum ACE levels and the increased incidence of AD. Experimental validation using P301S tau transgenic mice and human iPSC-derived neurons confirmed that pharmacological ACE inhibition intensified tau phosphorylation and aggregation, cognitive impairment, neuroinflammation, and glial activation, predominantly in the hippocampal region. Multiple lines of evidence established a specific link between ACE inhibition and tau-driven neurodegeneration, underscoring the importance of carefully tailored antihypertensive strategies to prevent dementia risk, and identifying ACE as a viable therapeutic target for AD and other tau-related neurodegenerative conditions."
40831583,Physical activity and neuroinflammation: a bibliometric analysis of research progress and future perspectives.,"Neuroinflammation is a common pathological feature of neurodegenerative and psychiatric diseases and is closely related to the dysfunction of the nervous system. In recent years, an increasing number of studies have shown that physical activity (PA) has a significant regulatory effect on neuroinflammation. However, a comprehensive analysis of research in this field is currently lacking, including the evolution of knowledge structures, interdisciplinary trends, and dynamic shifts in research hotspots. This study retrieved relevant literature from the Web of Science Core Collection database for the period from 2004 to 2025. The search strategy was TS = ((""physical activit*"" OR exercis* OR ""exercise training"") AND (""neuroinflammat*"" OR ""neuro inflammatory"" OR ""neuro-inflammatory"")), with the document type limited to Articles and Reviews. After screening, a total of 661 eligible articles were included for bibliometric analysis. The analysis tools used were the Bibliometrix R package and VOSviewer, which were employed to visualize the results of the literature analysis. From 2004 to 2025, the number of publications in this field showed a yearly increasing trend, with an annual growth rate of 15.05%. China and the United States were the main contributing countries, publishing 122 and 111 articles, respectively. In terms of journals, the <i>International Journal of Molecular Sciences</i> ranked first with 36 articles and a total of 799 citations. Among the institutions, Karolinska Institute led the way in terms of citation counts, amassing a total of 391 citations. Regarding author keywords, ""Alzheimer's disease,"" ""microglia,"" and ""older adults"" were the three most frequently occurring keywords. Research hotspots have gradually shifted from the early focus on hippocampal function and neuroinflammation mechanisms to current directions such as neurodegenerative diseases, microglial regulation, and the gut-brain axis. This study systematically reviewed the research progress in the field of PA and neuroinflammation from 2004 to 2025 using bibliometric methods and revealed the research hotspots, trends, and thematic evolution in this field. It provides a systematic scientific basis for scholars to understand the field, optimize research directions, and develop intervention strategies."
40829685,NF-κB signalling pathway in neurodegenerative diseases: Acupuncture as a potential therapeutic approach.,"The NF-κB signaling pathway plays a crucial role in the pathogenesis of neurodegenerative diseases, including Alzheimer's disease, Parkinson's disease, and amyotrophic lateral sclerosis, particularly through its role in the regulation neuroinflammation, oxidative stress, protein misfolding, and apoptosis. Emerging evidence suggests that acupuncture modulates the NF-κB pathway, thus offering therapeutic potential by mitigating neuroinflammation, reducing oxidative stress, and protecting mitochondrial function. Specifically, acupuncture inhibits NF-κB activation, downregulates pro-inflammatory mediators like TNF-α and IL-6, and mitigates neurotoxicity and apoptosis. These effects are substantiated in animal models of Alzheimer's and Parkinson's diseases, with preliminary evidence in amyotrophic lateral sclerosis models. However, current studies largely rely on preclinical models with limited acupoint selection, short observation periods, and a lack of standardized protocols, posing challenges for translation to clinical settings. Future research should prioritize well-designed clinical trials, expand acupoint combinations, and explore synergistic effects with conventional therapies, aiming to maximize acupuncture's therapeutic efficacy in neurodegenerative diseases."
40829243,Discovery of oleanolic acid derivatives that inhibit tau protein phosphorylation and neuroinflammation induced by Aβ<sub>25</sub><sub>-</sub><sub>35</sub> in vitro and in vivo.,"Alzheimer's disease (AD) is the most common neurodegenerative disorder. The primary pathological features of AD are the abnormal deposition of extracellular β-amyloid (Aβ) protein and hyperphosphorylated microtubule-associated protein tau. Excessive Aβ aggregation triggers neuroinflammation. Oleanolic acid (OA) has significant neuroprotective and anti-inflammatory effects. In this study, we designed and synthesized 35 OA derivatives for the treatment of AD, targeting Aβ and hyperphosphorylated tau. The results showed that compound B1, an OA derivative with a tetrazole, had the strongest activity against Aβ<sub>25</sub><sub>-</sub><sub>35</sub>-induced cytotoxicity (EC<sub>50</sub> = 1.93 ± 0.76 μM), approximately 14.75-fold more potent than OA and could penetrate the BBB. Intracerebroventricular injection of Aβ<sub>25</sub><sub>-</sub><sub>35</sub> to establish an AD-like mouse model, the histopathological results showed that B1 relieved nerve damage, and Morris water maze results showed that B1 improved learning and memory. Mechanistically, B1 reversed the hyperphosphorylation of tau, significantly inhibited the expression of certain immune-related cytotoxic factors, suppressed the MAPK and NF-κB signaling pathways, and significantly inhibited the expression of RAGE and the apoptosis factors Bax/Bcl-2, both in vitro and in vivo. In conclusion, B1 regulates neuroinflammatory mediators in response to Aβ and reverses the hyperphosphorylation of tau, and is a promising multifunctional compound for treating AD."
40828265,"Beyond Neuroinflammation: Microglia at the Crossroads of Amyloid, Tau, and Neurodegeneration in Alzheimer's Disease.","Microglia, the brain's resident immune cells, are increasingly recognized as central players in the complex landscape of Alzheimer's disease (AD). Traditionally associated with neuroinflammation, their roles extend far beyond, touching nearly every aspect of disease progression-from amyloid β (Aβ) and tau pathology to synaptic integrity and cognitive function. While early studies focused on their inflammatory responses, recent findings highlight a more nuanced picture: microglia can both protect and harm, depending on their state and the disease context. In this review, we examine the diverse functions of microglia at the crossroads of Aβ and tau pathology, emphasizing how dysfunction in their regulatory and clearance mechanisms can exacerbate neurodegeneration. We also explore how these insights are shaping therapeutic strategies aimed at modulating microglial activity to preserve brain health. By broadening the focus beyond inflammation alone, this work presents a more integrated view of microglial involvement in AD pathogenesis."
40827126,Sex differences and the role of estrogens in the immunological underpinnings of Alzheimer's disease.,"Alzheimer's disease (AD) affects women more frequently and more severely than men, but the biological mechanisms underlying these sex differences remain poorly understood. This review integrates recent findings from neuroscience, immunology, endocrinology, and genetics to explore how sex steroid hormones, particularly estrogen, shape neuroimmune responses and influence AD risk. We highlight the pivotal roles of microglia and astrocytes, whose inflammatory and neuroprotective actions are modulated by hormonal fluctuations across the female lifespan, including pregnancy, menopause, and menopausal hormone replacement therapy. Key genetic risk factors, such as apolipoprotein E ε4, show sex-specific effects on glial activation, tau pathology, and cognitive decline. Furthermore, life-stage transitions, especially menopause, intersect with changes in brain metabolism, immune signaling, and epigenetic regulation, increasing susceptibility to neurodegeneration in women. We propose a framework for sex-aware, personalized approaches to AD prevention and treatment. By integrating hormone-immune interactions with genetic and glial biology, this review emphasizes the critical need for sex-specific models in AD research. Women develop greater tauopathy, with more cognitive and clinical consequences in Alzheimer's disease (AD).Glial activation is adapted by estrogens to shape vulnerability or resilience to AD.Sex differences in innate and adaptive immunity could contribute to AD progression.Effects of menopausal hormone therapy on immunity in AD remain understudied.Future studies to explore sex differences in immune function during AD are needed."
40823879,NADPH Oxidase Inhibition Promotes Brain Resilience by Attenuating Tauopathy and Neuroinflammation in Alzheimer's Disease.,"Alzheimer's disease (AD) associates closely associated with the activation of NADPH oxidase (Nox) isozymes. CRB-2131, a novel oxadiazole derivative, is identified as a potently suppresses Nox isozymes. It inhibits reactive oxygen species production (ROS) by hippocampal neuronal and microglial cells and reduces microglial activation. Prophylactic (starting at 3.5 months of age) and therapeutic (starting at 6 months of age) oral administration with CRB-2131 for 10 weeks in 5XFAD mice reduced hippocampal superoxide levels, lipid peroxidation, Tau phosphorylation, and neuroinflammation. Prophylactic and therapeutic CRB-2131 treatment of 5XFAD mice restored their impaired cognition as shown by the novel-object recognition, Y-maze, and Morris water-maze tests. CRB-2131 treatment increased mature neurons, reduced apoptotic mature neurons, and elevated immature neurons in the hippocampus. Positron-emission tomography/computed-tomography imaging confirmed that CRB-2131 stimulated neuronal regeneration. CRB-2131 suppresses brain oxidation, tauopathy, and neuroinflammation, thereby preventing mature neuron death and promoting neuron regeneration. Ultimately, this fosters a resilient brain and protects cognition."
